character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,deck,tags
奈,can't help but / Nara,2099,2158,1094,nài: how can one help,St. Bernard dog + altar,⿱ (top-bottom),⿱大示,"大 = St. Bernard dog, 坛 = altar",RSH RTH RTK,RSH2::L29 RTH2::L29 RTK1v5::L30
奉,proffer / dedicate,1173,1234,1573,"fèng: to offer (tribute), to present respectfully (to superior, ancestor, deity etc), to esteem, to revere",bonsai + cornstalk,⿱ (top-bottom),⿱𡗗𰀁,"𡗗 = bonsai, 囧奉－𡗗 = cornstalk",RSH RTH RTK,RSH1::L39 RTH1::L39 RTK1v5::L40
奋,exert oneself,,1522,,fèn: exert oneself,St. Bernard dog + rice field,⿱ (top-bottom),⿱大田,"大 = St. Bernard dog, 田 = rice field",RSH,RSH2::L07
奏,play an instrument / play music,2527,2596,1571,"zòu: to play music, to achieve, to present a memorial to the emperor (old)",bonsai + heavens,⿱ (top-bottom),⿱𡗗天,"𡗗 = bonsai, 天 = heavens",RSH RTH RTK,RSH2::L39 RTH2::L39 RTK1v5::L40
契,contract / pledge,2518,2581,1549,"qì: to carve, carved words, to agree, a contract",bushes + sword + St. Bernard dog,⿱ (top-bottom),⿱㓞大,"丰 = bushes, 刀 = sword, 大 = St. Bernard dog",RSH RTH RTK,RSH2::L39 RTH2::L39 RTK1v5::L40
奔,dash / bustle,1832,1872,1196,"bēn: to hurry, to rush, to run quickly, to elope | bèn: to go to, to head for, towards",St. Bernard dog + haystack,⿱ (top-bottom),⿱大卉,"大 = St. Bernard dog, 卉 = haystack",RSH RTH RTK,RSH2::L22 RTH2::L22 RTK1v5::L32
奕,radiating vitality,2973,2950,,"yì: abundant, graceful",apple + St. Bernard dog,⿱ (top-bottom),⿱亦大,"苹 = apple, 大 = St. Bernard dog",RSH RTH,RSH2::L55 RTH2::L55
奖,award,,2466,,"jiǎng: prize, award, encouragement, CL:個|个[gè]",chocolate turtle + St. Bernard dog,⿱ (top-bottom),⿱⿰丬夕大,"囧酱－酉 = chocolate turtle, 大 = St. Bernard dog",RSH,RSH2::L37
套,cover / hackneyed,1390,1498,2901,"tào: cover, sheath, to encase, a case",St. Bernard dog + staples + wall,⿱ (top-bottom),⿱大镸,"大 = St. Bernard dog, 囧印－卩 = staples, 囧会－亼 = wall",RSH RTH RTK,RSH1::L55 RTH1::L51 RTK3v2::CH03
奠,found,2409,2478,,"diàn: to fix, to settle, a libation to the dead",chieftain + St. Bernard dog,⿱ (top-bottom),⿱酋大,"酋 = chieftain, 大 = St. Bernard dog",RSH RTH,RSH2::L37 RTH2::L37
奢,extravagant,2236,2305,,shē: extravagant,St. Bernard dog + puppet,⿱ (top-bottom),⿱大者,"大 = St. Bernard dog, 者 = puppet",RSH RTH,RSH2::L33 RTH2::L33
奥,of great depth / core,,2031,928,"Ào: Austria, Austrian, abbr. for 奧地利|奥地利[Ào dì lì], Olympic | ào: obscure, mysterious",a drop of + helmet + rice + St. Bernard dog,⿳ (top-mid-bottom),⿳㇒𭁨大,"丶 = a drop of, 冂 = helmet, 米 = rice, 大 = St. Bernard dog",RSH RTK,RSH2::L25 RTK1v5::L26
女,woman,96,102,98,"rǔ: archaic variant of 汝[rǔ] | nǚ: female, woman, daughter",,,女,,RSH RTH RTK,RSH1::L06 RTH1::L06 RTK1v5::L06 primitive
奴,slave / guy,693,747,702,nú: slave,woman + crotch,⿰ (left-right),⿰女又,"女 = woman, 又 = crotch",RSH RTH RTK,RSH1::L24 RTH1::L24 RTK1v5::L23
奶,milk,583,626,,"nǎi: breast, lady, milk",woman + fist,⿰ (left-right),⿰女乃,"女 = woman, 乃 = fist",RSH RTH,RSH1::L22 RTH1::L22
奸,adultery,,2640,,"jiān: wicked, crafty, traitor, variant of 姦|奸[jiān]",woman + clothesline,⿰ (left-right),⿰女干,"女 = woman, 干 = clothesline",RSH,RSH2::L42
她,she,477,506,,tā: she,woman + scorpion,⿰ (left-right),⿰女也,"女 = woman, 也 = scorpion",RSH RTH,RSH1::L20 RTH1::L20
好,good / fond,97,103,99,"hǎo: good, well, proper, good to | hào: to be fond of, to have a tendency to, to be prone to",woman + child,⿰ (left-right),⿰女子,"女 = woman, 子 = child",RSH RTH RTK,RSH1::L06 RTH1::L06 RTK1v5::L06
如,be like / likeness,98,104,100,"rú: as, as if, such as",mouth + woman,⿰ (left-right),⿰女口,"口 = mouth, 女 = woman",RSH RTH RTK,RSH1::L06 RTH1::L06 RTK1v5::L06
妄,absurd / delusion,459,492,487,"wàng: absurd, fantastic, presumptuous, rash",woman + perish,⿱ (top-bottom),⿱亡女,"女 = woman, 亡 = perish",RSH RTH RTK,RSH1::L19 RTH1::L19 RTK1v5::L19
妆,put on makeup,,243,,"zhuāng: (of a woman) to adorn oneself, makeup, adornment, trousseau",woman + turtle,⿰ (left-right),⿰丬女,"女 = woman, 兆 = turtle",RSH,RSH1::L11
妇,married woman,,943,,fù: woman,woman + broom,⿰ (left-right),⿰女𫜹,"女 = woman, 彐 = broom",RSH,RSH1::L30
妈,mama,,1454,,"mā: ma, mom, mother",woman + horse,⿰ (left-right),⿰女马,"女 = woman, 马 = horse",RSH,RSH1::L53
妒,jealous of,2095,2154,,"dù: to envy (success, talent), jealous",woman + door,⿰ (left-right),⿰女户,"女 = woman, 户 = door",RSH RTH,RSH2::L28 RTH2::L28
妓,prostitute / courtesan,1849,1891,2199,jì: prostitute,woman + branch,⿰ (left-right),⿰女支,"女 = woman, 枝 = branch",RSH RTH RTK,RSH2::L22 RTH2::L22 RTK3v2::CH02
妖,bewitching / bewitched,1668,1696,2078,"yāo: goblin, witch, devil, bewitching",woman + die young,⿰ (left-right),⿰女夭,"女 = woman, 夭 = die young",RSH RTH RTK,RSH2::L18 RTH2::L18 RTK3v2::CH01
妙,wonderful / exquisite,116,127,123,"miào: clever, wonderful",woman + few,⿰ (left-right),⿰女少,"女 = woman, 少 = few",RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07
妥,appropriate / gentle,1859,1901,728,"tuǒ: suitable, adequate, ready, settled",vulture + woman,⿱ (top-bottom),⿱爫女,"爪 = vulture, 女 = woman",RSH RTH RTK,RSH2::L22 RTH2::L22 RTK1v5::L23
妨,hinder / disturb,462,495,491,"fáng: to hinder, (in the negative or interrogative) (no) harm, (what) harm",compass + woman,⿰ (left-right),⿰女方,"方 = compass, 女 = woman",RSH RTH RTK,RSH1::L19 RTH1::L19 RTK1v5::L19
妳,you girl,,,,,woman + hiccup,⿰ (left-right),⿰女尔,"女 = woman, 尔 = hiccup",,
妹,younger sister,206,219,220,mèi: younger sister,woman + not yet,⿰ (left-right),⿰女未,"女 = woman, 未 = not yet",RSH RTH RTK,RSH1::L10 RTH1::L10 RTK1v5::L10
妻,wife,2136,2209,1889,qī: wife | qì: to marry off (a daughter),needle + rake + woman,⿱ (top-bottom),⿱⿻⿱一{43}丨女,"针 = needle, 肀 = rake, 女 = woman",RSH RTH RTK,RSH2::L30 RTH2::L30 RTK1v5::L51
姆,nanny,1515,1520,,"mǔ: female tutor (old), woman who looks after small children",woman + mother,⿰ (left-right),⿰女母,"女 = woman, 母 = mother",RSH RTH,RSH2::L06 RTH2::L06
姊,elder sister,2227,2285,,"zǐ: older sister, Taiwan pr. [jiě]",woman + snare + drag + genie,⿰ (left-right),⿰女𠂔,"女 = woman, 丂 = snare, 𠂆 = drag, 才 = genie",RSH RTH,RSH2::L32 RTH2::L32
始,commence,623,674,747,"shǐ: to begin, to start, then, only then",woman + platform,⿰ (left-right),⿰女台,"女 = woman, 台 = platform",RSH RTH RTK,RSH1::L22 RTH1::L22 RTK1v5::L23
姐,older sister / young miss,1298,1346,2206,jiě: older sister,woman + shelves,⿰ (left-right),⿰女且,"女 = woman, 且 = shelves",RSH RTH RTK,RSH1::L46 RTH1::L45 RTK3v2::CH02
姑,father's sister / mother-in-law,1514,1518,2205,"gū: paternal aunt, husband's sister, husband's mother (old), nun",woman + ancient,⿰ (left-right),⿰女古,"女 = woman, 古 = ancient",RSH RTH RTK,RSH2::L06 RTH2::L06 RTK3v2::CH02
姓,surname,1165,1222,1557,"xìng: family name, surname, CL:個|个[gè], to be surnamed",woman + cell,⿰ (left-right),⿰女生,"女 = woman, 生 = cell",RSH RTH RTK,RSH1::L39 RTH1::L39 RTK1v5::L40
委,committee,719,774,913,"wēi: same as 逶 in 逶迤 winding, curved | wěi: to entrust, to cast aside, to shift (blame etc), to accumulate",wild rice + woman,⿱ (top-bottom),⿱禾女,"禾 = wild rice, 女 = woman",RSH RTH RTK,RSH1::L25 RTH1::L25 RTK1v5::L26
姚,Yao-2,3010,3004,,"yáo: handsome, good-looking",woman + drop + hook + eyedropper + ㇀ + dropdrop + eyedropper,⿰ (left-right),⿰女兆,"女 = woman, 丿 = drop, 乚 = hook, 丶 = eyedropper, ㇒ = dropdrop",RSH RTH,RSH2::Postscript 1 RTH2::Postscript 1
姜,ginger / Jiang-2,3012,1758,,jiāng: ginger,sheep + woman,⿱ (top-bottom),⿱𦍌女,"羊 = sheep, 女 = woman",RSH RTH,RSH2::L20 RTH2::Postscript 1
姥,maternal grandmother / aged woman,,2297,2204,"lǎo: grandma (maternal) | mǔ: governess, old woman",woman + old man,⿰ (left-right),⿰女老,"女 = woman, 老 = old man",RSH RTK,RSH2::L33 RTK3v2::CH02
姨,maternal aunt,2214,2271,,"yí: mother's sister, aunt",woman + barbarian,⿰ (left-right),⿰女夷,"女 = woman, 夷 = barbarian",RSH RTH,RSH2::L32 RTH2::L32
姻,in-law / matrimony,1748,1780,584,yīn: marriage connections,woman + dog kennel,⿰ (left-right),⿰女因,"女 = woman, 囧因 = dog kennel",RSH RTH RTK,RSH2::L21 RTH2::L21 RTK1v5::L22
姿,looks / figure,445,480,474,"zī: beauty, disposition, looks, appearance",woman + secondary,⿱ (top-bottom),⿱次女,"女 = woman, 次 = secondary",RSH RTH RTK,RSH1::L18 RTH1::L18 RTK1v5::L18
威,might / intimidate,344,371,364,"wēi: power, might, prestige",march + woman,⿵ (surround-open-bottom),⿵戌女,"戌 = march, 女 = woman",RSH RTH RTK,RSH1::L16 RTH1::L16 RTK1v5::L16
娃,newborn / fair,1527,1542,2200,"wá: baby, doll",woman + bricks,⿰ (left-right),⿰女圭,"女 = woman, 圭 = bricks",RSH RTH RTK,RSH2::L08 RTH2::L08 RTK3v2::CH02
娄,bride,,,,"Lóu: surname Lou, one of the 28 lunar mansions in Chinese astronomy",woman + rice,⿱ (top-bottom),⿱米女,"女 = woman, 米 = rice",,primitive
娇,attractive,,443,,"jiāo: lovable, pampered, tender, delicate",woman + angel,⿰ (left-right),⿰女乔,"女 = woman, 乔 = angel",RSH,RSH1::L18
娘,mom / daughter,1095,1155,1471,"niáng: mother, young lady, variant of 娘[niáng]",woman + halo,⿰ (left-right),⿰女良,"女 = woman, 良 = halo",RSH RTH RTK,RSH1::L37 RTH1::L37 RTK1v5::L38
娜,na,3027,3015,,"nà: (phonetic na), used esp. in girl's names such as Anna 安娜 or Diana 黛安娜 | nuó: elegant, graceful",woman + Alcatraz,⿰ (left-right),⿰女那,"女 = woman, 那 = Alcatraz",RSH RTH,RSH2::Postscript 1 RTH2::Postscript 1
娱,amusement,,438,,yú: amuse,Heaven in your Mouth + woman,⿰ (left-right),⿰女吴,"吴 = Heaven in your Mouth, 女 = woman",RSH,RSH1::L18
娶,take a wife,1917,1975,,"qǔ: to take a wife, to marry (a woman)",take + woman,⿱ (top-bottom),⿱取女,"取 = take, 女 = woman",RSH RTH,RSH2::L24 RTH2::L24
婆,old woman,658,709,804,"pó: grandmother, matron, mother-in-law",waves + woman,⿱ (top-bottom),⿱波女,"波 = waves, 女 = woman",RSH RTH RTK,RSH1::L24 RTH1::L24 RTK1v5::L25
婉,tactful / well finished,2388,2453,2197,"wǎn: graceful, tactful",woman + mailbox,⿰ (left-right),⿰女宛,"女 = woman, 宛 = mailbox",RSH RTH RTK,RSH2::L36 RTH2::L36 RTK3v2::CH02
婚,marriage,1331,1374,1830,"hūn: to marry, marriage, wedding, to take a wife",woman + family name + day,⿰ (left-right),⿰女昏,"女 = woman, 氏 = family name, 日 = day",RSH RTH RTK,RSH1::L48 RTH1::L48 RTK1v5::L49
婴,baby,,1519,,"yīng: infant, baby",oyster + woman,⿱ (top-bottom),⿱𲂻女,"贝 = oyster, 女 = woman",RSH,RSH2::L06
婶,auntie,,2177,,shěn: wife of father's younger brother,woman + painstaking,⿰ (left-right),⿰女审,"女 = woman, 审 = painstaking",RSH,RSH2::L29
婿,son-in-law / bridegroom,1647,1676,395,xù: son-in-law,woman + zoo + month,⿰ (left-right),⿰女胥,"女 = woman, 疋 = zoo, 月 = month",RSH RTH RTK,RSH2::L17 RTH2::L17 RTK1v5::L17
媒,matchmaker / mediator,2665,2732,1761,"méi: medium, intermediary, matchmaker, go-between",woman + such and such,⿰ (left-right),⿰女某,"女 = woman, 某 = such and such",RSH RTH RTK,RSH2::L45 RTH2::L45 RTK1v5::L46
媚,flatter,2093,2150,,"mèi: flatter, charm",woman + eyebrows,⿰ (left-right),⿰女眉,"女 = woman, 眉 = eyebrows",RSH RTH,RSH2::L28 RTH2::L28
媳,daughter-in-law,1785,1821,,xí: daughter-in-law,woman + breath,⿰ (left-right),⿰女息,"女 = woman, 息 = breath",RSH RTH,RSH2::L21 RTH2::L21
嫁,marry / marry into,1724,1753,542,"jià: (of a woman) to marry, to marry off a daughter, to shift (blame etc)",woman + flophouse,⿰ (left-right),⿰女家,"女 = woman, 囧家 = flophouse",RSH RTH RTK,RSH2::L20 RTH2::L20 RTK1v5::L21
嫂,elder brother's wife,2923,2965,,"sǎo: older brother's wife, sister-in-law",woman + cake mixer,⿰ (left-right),⿰女叟,"女 = woman, 叟 = cake mixer",RSH RTH,RSH2::L55 RTH2::L55
嫌,dislike,2146,2217,1598,"xián: to dislike, suspicion, resentment, enmity",woman + double,⿰ (left-right),⿰女兼,"女 = woman, 兼 = double",RSH RTH RTK,RSH2::L30 RTH2::L30 RTK1v5::L41
嫩,tender,2588,2656,,"nèn: tender, soft, delicate, light (color)",woman + bundle + taskmaster,⿰ (left-right),⿰女敕,"女 = woman, 束 = bundle, 攵 = taskmaster",RSH RTH,RSH2::L42 RTH2::L42
子,child,92,97,95,"zǐ: son, child, seed, egg | zi: (noun suffix)",-ed + floor,⿻ (overlaid),⿻了一,"了 = -ed, 一 = floor",RSH RTH RTK,RSH1::L06 RTH1::L06 RTK1v5::L06 primitive
孔,cavity,93,98,96,"kǒng: hole, CL:個|个[gè], classifier for cave dwellings",child + hook,⿰ (left-right),⿰子乚,"子 = child, 钩 = hook",RSH RTH RTK,RSH1::L06 RTH1::L06 RTK1v5::L06
孕,pregnant / expecting,1837,1877,2208,yùn: pregnant,only then + child,⿵ (surround-open-bottom),⿵乃子,"乃 = only then, 子 = child",RSH RTH RTK,RSH2::L22 RTH2::L22 RTK3v2::CH02
字,character,180,191,185,"zì: letter, symbol, character, word",child + house,⿱ (top-bottom),⿱宀子,"子 = child, 宀 = house",RSH RTH RTK,RSH1::L09 RTH1::L09 RTK1v5::L09
存,deposit / suppose,580,623,684,"cún: to exist, to deposit, to store, to keep",genie in the bottle + child,⿸ (top-left-wrap),⿸{57}子,"才 = genie in the bottle, 子 = child",RSH RTH RTK,RSH1::L22 RTH1::L22 RTK1v5::L23
孙,grandchild,,112,,"sūn: grandson, descendant",child + small,⿰ (left-right),⿰子小,"子 = child, 小 = small",RSH,RSH1::L07
孚,fledglings,,,,"fú: to trust, to believe in",vulture + child,⿱ (top-bottom),⿱爫子,"爪 = vulture, 子 = child",,primitive
孛,Sunday school,,,,bèi: comet,chapel + child,⿱ (top-bottom),⿱{44}子,"囧索－糸 = chapel, 子 = child",,primitive
孝,filial piety,957,1037,1253,"xiào: filial piety or obedience, mourning apparel",Santa Claus + child,⿱ (top-bottom),⿱耂子,"老 = Santa Claus, 子 = child",RSH RTH RTK,RSH1::L33 RTH1::L33 RTK1v5::L34
孟,Mencius / start,2418,2485,2872,"mèng: first month of a season, eldest amongst brothers",child + dish,⿱ (top-bottom),⿱子皿,"子 = child, 皿 = dish",RSH RTH RTK,RSH2::L37 RTH2::L37 RTK3v2::CH03
季,seasons,718,773,912,"jì: season, the last month of a season, fourth or youngest amongst brothers, classifier for seasonal crop yields",wild rice + child,⿱ (top-bottom),⿱禾子,"禾 = wild rice, 子 = child",RSH RTH RTK,RSH1::L25 RTH1::L25 RTK1v5::L26
孤,orphan,1356,1400,1879,"gū: lone, lonely",child + melon,⿰ (left-right),⿰子瓜,"子 = child, 瓜 = melon",RSH RTH RTK,RSH1::L49 RTH1::L49 RTK1v5::L50
学,study,,337,324,"xué: to learn, to study, science, -ology",child + schoolhouse,⿱ (top-bottom),⿱𰃮子,"子 = child, 囧学－子 = schoolhouse",RSH RTK,RSH1::L15 RTK1v5::L15
孩,tot,1138,1198,,hái: child,child + acorn,⿰ (left-right),⿰子亥,"子 = child, 亥 = acorn",RSH RTH,RSH1::L38 RTH1::L38
孵,hatch,2361,2429,,"fū: breeding, to incubate, to hatch",nest eggs + fledglings,⿰ (left-right),⿰卵孚,"卵 = nest eggs, 孚 = fledglings",RSH RTH,RSH2::L36 RTH2::L36
宀,house,,,,"mián: roof radical in Chinese characters (Kangxi radical 40), occurring in 家, 定, 安 etc, see also 寶蓋|宝盖[bǎo gài]",eyedropper + crown,⿱ (top-bottom),⿱丶冖,"丶 = eyedropper, 冖 = crown",,primitive
宁,calm,,1558,,"zhù: to store, to stand, space between the door and the entrance screen | Níng: abbr. for Ningxia Hui Autonomous Region 寧夏回族自治區|宁夏回族自治区[Níng xià Huí zú Zì zhì qū], abbr. for Nanjing 南京[Nán jīng], surname Ning | níng: peaceful, rather | nìng: rather, to prefer",house + spike,⿱ (top-bottom),⿱宀丁,"宀 = house, 丁 = spike",RSH,RSH2::L09
它,it,428,462,,tā: it,house + someone sitting on the ground,⿱ (top-bottom),⿱宀匕,"宀 = house, 匕 = someone sitting on the ground",RSH RTH,RSH1::L18 RTH1::L18
宅,dwelling / home,1383,1425,1916,"zhái: residence, (coll.) to stay in at home, to hang around at home",house + fur ball,⿱ (top-bottom),⿱宀乇,"宀 = house, 乇 = fur ball",RSH RTH RTK,RSH1::L51 RTH1::L51 RTK1v5::L52
宇,eaves,1231,1284,1656,"yǔ: room, universe",house + clothing conveyor,⿱ (top-bottom),⿱宀于,"宀 = house, 于 = clothing conveyor",RSH RTH RTK,RSH1::L42 RTH1::L42 RTK1v5::L43
守,guard,181,192,186,"shǒu: to guard, to defend, to keep watch, to abide by the law",glue + house,⿱ (top-bottom),⿱宀寸,"粘 = glue, 宀 = house",RSH RTH RTK,RSH1::L09 RTH1::L09 RTK1v5::L09
安,peaceful / relax,186,197,190,"ān: content, calm, still, quiet",woman + house,⿱ (top-bottom),⿱宀女,"女 = woman, 宀 = house",RSH RTH RTK,RSH1::L09 RTH1::L09 RTK1v5::L09
宋,Song Dynasty / Sung dynasty,1553,1572,2215,"Sòng: surname Song, the Song dynasty (960-1279), also Song of the Southern dynasties 南朝宋 (420-479)",house + tree,⿱ (top-bottom),⿱宀木,"宀 = house, 木 = tree",RSH RTH RTK,RSH2::L10 RTH2::L10 RTK3v2::CH02
完,finish / perfect,182,193,187,"wán: to finish, to be over, whole, complete",house + beginning,⿱ (top-bottom),⿱宀元,"宀 = house, 元 = beginning",RSH RTH RTK,RSH1::L09 RTH1::L09 RTK1v5::L09
宏,magnificent / extensive,1864,1906,2212,"hóng: great, magnificent, macro (computing), macro-",house + by one’s side + elbow,⿱ (top-bottom),⿱宀厷,"宀 = house, 𠂇 = by one’s side, 厶 = elbow",RSH RTH RTK,RSH2::L22 RTH2::L22 RTK3v2::CH02
宗,religion,840,908,1100,"zōng: school, sect, purpose, model",house + altar,⿱ (top-bottom),⿱宀示,"宀 = house, 坛 = altar",RSH RTH RTK,RSH1::L29 RTH1::L29 RTK1v5::L30
官,bureaucrat,966,1043,1271,"guān: official, government, organ of body, CL:個|个[gè]",maestro + a drop of + house,⿱ (top-bottom),⿱宀㠯,"𠂤 = maestro, 丶 = a drop of, 宀 = house",RSH RTH RTK,RSH1::L33 RTH1::L33 RTK1v5::L34
宙,universe / mid-air,2109,2168,1109,zhòu: universe,house + sprout,⿱ (top-bottom),⿱宀由,"宀 = house, 芽 = sprout",RSH RTH RTK,RSH2::L29 RTH2::L29 RTK1v5::L30
定,settle on / determine,364,390,382,"dìng: to set, to fix, to determine, to decide",mending + house,⿱ (top-bottom),⿱宀𤴓,"囧走－十 = mending, 宀 = house",RSH RTH RTK,RSH1::L17 RTH1::L17 RTK1v5::L17
宛,winding / address,2386,2451,1417,"wǎn: winding, as if",house + nameplate,⿱ (top-bottom),⿱宀夗,"宀 = house, 夗 = nameplate",RSH RTH RTK,RSH2::L36 RTH2::L36 RTK1v5::L37 primitive
宜,fitting / best regards,2680,2746,1783,"yí: proper, should, suitable, appropriate",house + shelves,⿱ (top-bottom),⿱宀且,"宀 = house, 且 = shelves",RSH RTH RTK,RSH2::L46 RTH2::L45 RTK1v5::L47
宝,treasure,,267,257,"bǎo: jewel, gem, treasure, precious",house + jade,⿱ (top-bottom),⿱宀玉,"宀 = house, 玉 = jade",RSH RTK,RSH1::L12 RTK1v5::L12
实,reality,,857,,"shí: real, true, honest, really",house + bust,⿱ (top-bottom),⿱宀头,"宀 = house, 头 = bust",RSH,RSH1::L27
宠,dote on,,2933,,"chǒng: to love, to pamper, to spoil, to favor",house + dragon,⿱ (top-bottom),⿱宀龙,"宀 = house, 龙 = dragon",RSH,RSH2::L54
审,painstaking,,2176,,"shěn: to examine, to investigate, carefully, to try (in court)",house + monkey,⿱ (top-bottom),⿱宀申,"宀 = house, 猴 = monkey",RSH,RSH2::L29
客,guest,283,312,294,"kè: customer, visitor, guest",house + each,⿱ (top-bottom),⿱宀各,"宀 = house, 各 = each",RSH RTH RTK,RSH1::L13 RTH1::L13 RTK1v5::L13
宣,proclaim,184,195,188,"xuān: to declare (publicly), to announce",house + daybreak + sun,⿱ (top-bottom),⿱宀亘,"宀 = house, 旦 = daybreak, 日 = sun",RSH RTH RTK,RSH1::L09 RTH1::L09 RTK1v5::L09 primitive
